                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4976,                0.06622,                0.25595,                 1.2684,                 1.5558,                0.86696,                0.92187,                0.93779,                0.49737,                0.88367,                0.92637,                0.95241,                0.95173,                  1.418,                0.03901,                 0.0016,                 1.9333,                 1.4291,               0.070114,              0.0033207,              0.0033207
                      2,                 1.3831,                0.04964,                0.19516,                0.95899,                 1.4646,                0.93885,                 0.9736,                0.98999,                  0.461,                0.93885,                 0.9736,                0.98999,                0.98999,                 1.6498,                0.06004,                0.00361,                0.93741,                 1.5375,                0.04007,              0.0066101,              0.0066101
                      3,                 1.2855,                0.04434,                0.13684,                0.84087,                 1.4039,                0.98414,                0.99024,                0.99441,                0.61241,                0.98414,                0.99024,                0.99441,                0.99441,                 1.2668,                0.01944,                0.00636,                0.76026,                  1.301,              0.0099818,              0.0098555,              0.0098555
                      4,                  1.253,                0.03626,                0.14055,                0.78331,                 1.3958,                0.97567,                0.93659,                0.98827,                0.63629,                0.97996,                0.94146,                0.98994,                0.98994,                   1.26,                0.01738,                  0.004,                0.85993,                 1.2785,               0.009802,               0.009802,               0.009802
                      5,                 1.1651,                0.03449,                0.11897,                0.72692,                 1.3225,                0.99512,                0.99508,                  0.995,                0.60074,                0.99512,                0.99508,                  0.995,                  0.995,                 1.4878,                0.01793,                0.00103,                 0.7618,                  1.379,               0.009736,               0.009736,               0.009736
                      6,                 1.1151,                0.03304,                 0.1225,                0.69409,                 1.2718,                0.99999,                      1,                  0.995,                0.58644,                0.99999,                      1,                  0.995,                  0.995,                 1.5082,                0.02342,                0.00419,                0.67306,                 1.4112,                0.00967,                0.00967,                0.00967
                      7,                 1.0979,                0.02748,                0.10379,                 0.6523,                 1.2872,                 0.9807,                0.99173,                0.99446,                0.66032,                 0.9807,                0.99173,                0.99446,                0.99446,                 1.1986,                0.01871,                0.00066,                0.55975,                 1.1908,               0.009604,               0.009604,               0.009604
                      8,                 1.0664,                0.02831,                0.10444,                0.61841,                 1.2535,                0.99514,                0.99792,                 0.9949,                0.62536,                0.99514,                0.99792,                 0.9949,                 0.9949,                 1.3528,                0.01586,                0.00225,                0.55276,                  1.286,               0.009538,               0.009538,               0.009538
                      9,                 1.0548,                0.02887,                0.11241,                0.61728,                 1.2505,                0.98556,                0.99852,                0.98389,                 0.7026,                0.98556,                0.99852,                0.98389,                0.98389,                 1.0241,                0.01087,                0.00629,                0.51753,                 1.1074,               0.009472,               0.009472,               0.009472
                     10,                  1.045,                0.02473,                0.10243,                 0.6102,                  1.245,                0.98939,                      1,                0.99485,                0.67233,                0.98939,                      1,                0.99485,                0.99485,                 1.2578,                0.01212,                0.00768,                0.54088,                 1.2225,               0.009406,               0.009406,               0.009406
