epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,97.6797,0.61925,0.70107,1.02729,0.88981,0,0.83292,0.65826,0.71116,0.52213,0.59612,0.41036,0.40583,0.18528,0.69123,8.03987,0.99906,1.00363,0,0.000330827,0.000330827,0.0672481
2,185.895,0.61628,0.5565,0.62297,0.90221,0,0.95778,0.44958,0.57957,0.45059,0.95778,0.44958,0.58947,0.47156,0.75172,0.65507,0.89137,1.05021,0,0.000659777,0.000659777,0.0342437
3,274.568,0.66298,0.55634,0.60116,0.91364,0,0.80735,0.56246,0.57977,0.45037,0.80735,0.56246,0.67671,0.49509,0.73016,0.45438,0.75282,1.06587,0,0.000984327,0.000984327,0.00123495
4,362.995,0.61216,0.52832,0.54071,0.89749,0,0.95912,0.48319,0.67272,0.45899,0.95912,0.48319,0.75259,0.55396,0.73172,0.46679,0.70664,1.15855,0,0.0009802,0.0009802,0.0009802
5,451.671,0.56704,0.513,0.54675,0.88464,0,0.98646,0.48319,0.64262,0.45751,0.98646,0.48319,0.89226,0.59345,0.69418,0.42288,0.68665,1.01886,0,0.0009736,0.0009736,0.0009736
6,540.155,0.55126,0.51822,0.51147,0.87607,0,0.63322,0.72865,0.64556,0.47867,0.66515,0.72353,0.71269,0.51627,0.64005,0.43563,0.54854,1.00483,0,0.000967,0.000967,0.000967
7,628.073,0.5406,0.49145,0.49083,0.87437,0,0.50537,0.96246,0.60725,0.45429,0.50683,0.9958,0.80837,0.54088,0.63921,0.40273,1.91435,0.98603,0,0.0009604,0.0009604,0.0009604
8,716.355,0.53814,0.49081,0.45507,0.87574,0,0.57069,0.92932,0.76748,0.50567,0.57069,0.92932,0.88322,0.673,0.68602,0.46378,1.03264,1.03033,0,0.0009538,0.0009538,0.0009538
9,804.406,0.52317,0.46948,0.42253,0.86449,0,0.69641,0.86195,0.83086,0.59144,0.69641,0.86195,0.83298,0.68226,0.57603,0.41525,0.63633,0.98172,0,0.0009472,0.0009472,0.0009472
10,892.241,0.51287,0.4802,0.4159,0.86167,0,0.6279,0.86611,0.86996,0.62031,0.6279,0.86611,0.87195,0.71243,0.61238,0.42395,0.60529,0.9619,0,0.0009406,0.0009406,0.0009406
11,980.695,0.53188,0.45322,0.41137,0.87155,0,0.79674,0.7695,0.76756,0.59254,0.79674,0.7695,0.76808,0.67392,0.59474,0.37991,0.53522,0.9441,0,0.000934,0.000934,0.000934
12,1069.15,0.49791,0.46778,0.41982,0.85499,0,0.78778,0.75103,0.74362,0.56161,0.78271,0.75182,0.76978,0.62049,0.59546,0.4233,0.50527,0.97908,0,0.0009274,0.0009274,0.0009274
13,1157.81,0.49182,0.45754,0.39774,0.85561,0,0.68035,0.69752,0.72292,0.54694,0.70963,0.72986,0.75103,0.63854,0.58946,0.3776,0.59516,0.97325,0,0.0009208,0.0009208,0.0009208
14,1241.33,0.49855,0.46192,0.4048,0.85573,0,0.58309,0.88504,0.75709,0.60188,0.58309,0.88504,0.76096,0.67626,0.5422,0.36856,0.80005,0.94417,0,0.0009142,0.0009142,0.0009142
15,1315.5,0.47716,0.45238,0.38669,0.85238,0,0.57911,0.95335,0.77804,0.55942,0.57911,0.95335,0.82004,0.62422,0.56661,0.378,0.96892,0.9424,0,0.0009076,0.0009076,0.0009076
16,1389.65,0.48037,0.4446,0.37909,0.84662,0,0.5979,0.87529,0.79229,0.61928,0.5979,0.87529,0.79229,0.70489,0.5699,0.38063,1.03126,0.94143,0,0.000901,0.000901,0.000901
17,1463.78,0.46603,0.44572,0.36716,0.85353,0,0.71783,0.88319,0.79279,0.59641,0.71783,0.88319,0.80048,0.65915,0.52348,0.45074,0.46607,0.93457,0,0.0008944,0.0008944,0.0008944
18,1537.83,0.47254,0.44686,0.36826,0.84345,0,0.82203,0.85259,0.86175,0.66321,0.82203,0.85259,0.86175,0.72739,0.55223,0.38689,0.49624,0.93468,0,0.0008878,0.0008878,0.0008878
19,1612.88,0.46499,0.45629,0.37113,0.84185,0,0.65901,0.89213,0.81583,0.63001,0.65901,0.89213,0.81639,0.71288,0.55338,0.39739,0.62566,0.92698,0,0.0008812,0.0008812,0.0008812
20,1686.99,0.46288,0.44566,0.36957,0.8505,0,0.66255,0.94211,0.83215,0.63778,0.66255,0.94211,0.83215,0.74584,0.53792,0.39305,0.64208,0.9227,0,0.0008746,0.0008746,0.0008746
21,1761.2,0.47977,0.46527,0.3657,0.85088,0,0.68204,0.97893,0.84794,0.65397,0.68204,0.97893,0.84794,0.72123,0.53107,0.36029,0.54371,0.92977,0,0.000868,0.000868,0.000868
22,1835.21,0.45922,0.42702,0.36047,0.8455,0,0.77583,0.88682,0.91134,0.69352,0.77583,0.88682,0.91241,0.84691,0.49378,0.34846,0.53945,0.90859,0,0.0008614,0.0008614,0.0008614
23,1909.56,0.42965,0.42436,0.33964,0.83505,0,0.5763,0.88856,0.88971,0.73726,0.58348,0.92182,0.89338,0.80244,0.47297,0.37507,0.64578,0.9185,0,0.0008548,0.0008548,0.0008548
24,1983.79,0.42126,0.41587,0.33851,0.82922,0,0.75361,0.98334,0.96321,0.73927,0.75361,0.98334,0.96321,0.85368,0.45825,0.35812,0.60585,0.91171,0,0.0008482,0.0008482,0.0008482
25,2058.13,0.42976,0.43336,0.3325,0.84112,0,0.55908,0.98319,0.90692,0.65727,0.55908,0.98319,0.90692,0.7975,0.51911,0.39621,1.41107,0.92946,0,0.0008416,0.0008416,0.0008416
26,2132.18,0.43345,0.41877,0.33905,0.837,0,0.64361,0.98437,0.92414,0.67267,0.64361,0.98437,0.92414,0.80617,0.48685,0.36152,0.70415,0.92068,0,0.000835,0.000835,0.000835
27,2206.38,0.43494,0.41322,0.33704,0.83566,0,0.90261,0.87899,0.91698,0.69816,0.90261,0.87899,0.91698,0.82651,0.46527,0.38139,0.4143,0.90224,0,0.0008284,0.0008284,0.0008284
28,2280.42,0.42667,0.42623,0.34412,0.83743,0,0.63013,0.94381,0.90439,0.75089,0.63013,0.94381,0.90439,0.79641,0.49044,0.36246,0.71503,0.90839,0,0.0008218,0.0008218,0.0008218
